Text,Label
帮 我 查 一下 从 开封 到 郑州 的 火车 几 点 发,18
江西 卫视 三 天 之后 放 一站到底 么,21
近视眼 怎么 治疗,2
糖尿病 注意 什么,2
热火 NBA 季前赛 的 那个 赛程,16
把 平水 相逢 的 手机号码 发给 8000,0
中央电视台 一 套 现在 放 什么 节目,21
我 是 特种兵 二,10
上海 能源 这支 股票 怎么样,1
六安市 飞云 卫生院 在 哪里,15
汉武大帝,10
打 了 怎么 做 红烧肉 的 做法,23
甲亢 怎么办,2
四月 六 号 南宁 到 上海 的 火车,18
我 给 我 念 一 首 李白 的 诗 吧,17
女人 的 颜色 六十九 集,10
帮 我 查 一下 明天 去 郑州 的 火车票,18
现在 哪个 频道 播放 电视剧,21
到 合肥市 逍遥津 公园 怎么 走,15
打电话 给 阿华,5
来个 灯谜 吧,6
读 一 首 古诗,17
央视 精品 节目,22
新建 联系人 人名 电话号码,0
给 园园 发短信,14
帮 我 翻译 一下 番茄,4
体育赛事 直播,10
失眠 怎么办 呀,2
黑芝麻 怎么 炒,23
背 一 首 春晓,17
呃 发 信息 给 人名,14
做 黄 焖 小土豆 怎么 做 啊,23
新建 联系人 麦当劳 电话号码,0
恶 熊出没,10
冰糖 雪梨,23
独立 纵队 电视剧,10
最近 的 科幻 大片 儿 有 什么,10
我 想 听 首 唐诗,17
听听 新闻,8
打开 浦发银行,12
来 一 首 灵岩,17
来个 最新 新闻,8
帮 我 查 一下 今晚 中年 中央 六台 放 什么 电影,21
3 的 平方 除以 2 的 立方 的 商 的 倒数,13
知青,10
凉皮 的 制作方法,23
给 我 看 邮件,20
永高 股份 的 股票,1
嗯 知道 红烧肉 怎么 做,23
发 信息 给 熊伟,14
能 不能 帮 我 接听 中 广 流行 网,3
非诚 勿扰 什么 时候 演 啊,21
鱼香肉丝 怎么 做 买,23
锄禾日当午 下面 一 句 是 什么,17
打电话 给 人名,5
平阳 怎么 走 吗,15
北京 二,22
我 想 看 董浩 配音 的 动漫,10
有 什么 新 电影,10
发短信,14
新建 联系人 人名 电话号码 一二三四五,0
张 来首 白居易 的 诗,17
打电话 给 阿敏,5
老 故事,22
请问 鱼块 的 做法,23
若 相惜 不弃 下 一 句 是 什么,17
先锋 乒羽,22
打电话 人名,5
广州 恒大 比赛 谁 赢 了,16
情债,10
熊出没 是 几 点 开始 播放,21
调频 到 fm 八九 八,3
内分泌 失调 了 怎么 调理,2
打电话 给 李 新颖,5
上 广州 坐车 网 查 一下 从 这里 到 大 咋 地 怎么 走,12
我 想 打 你 英语 怎么 说,4
土豆粉 怎么 做,23
哦 中超 比赛 时间 三 比 五,16
请拨 幺 幺 零,5
给 杨斌 发短信,14
我 要 看 名 侦探 柯南,10
查 一下 潍坊 到 威海 的 火车票,18
恶念 首 唐诗,17
张培 的 电话号码 是 多少,0
占田 你 给 我 放 一下 最近 的 新闻,8
杭州 到 北京 的 火车 班次,18
甲型肝炎,2
怎么 做 京酱 肉丝,23
干贝 怎么 做,23
发短信 人名,14
草莓 芒果 西米露,23
最近 有 什么 电影 可以 看 一下,10
帮 我 调 明天 8 : 10 的 闹钟,11
看 上周五 的 爸爸 我 去 哪儿,10
你 给 我 讲讲 红烧肉 的 做法,23
怎么 做 洋葱 炒蛋,23
伊利 股份 股票,1
中超 比赛 结果,16
明天 到 合肥 的 火车,18
发短信 给 人名 说 画皮 2 在 哪个 台 播出,14
深圳 至 合肥 的 火车票,18
做 火腿 炒 茄 瓜 需要 什么 材料,23
淋病 怎么办,2
帮 我 查查 北京电视台 - 6 上 周六 开始 美味 的 想念 呢,21
查 一下 沿途 的 科大讯飞,15
发短信 给 人名 说 我 爱 你,14
灯谜 惑 下,6
嗯 我 想 知道 曲阜 在 什么 地方,15
x 战警 第 一 部,10
湖南卫视 现在 演 什么 节目,21
零零 二三 零六 的 股票,1
武汉 的 精确 时间 是,19
有 什么 好看 的 校园 小说,7
打开 江苏 移动 网上 营业厅 网页,12
帮 我 找 一下 凉拌 海蜇 的 做法,23
宏达 高科 的 股票 跌 了 没有,1
调频 到 fm 八 八五,3
清蒸鱼 怎么 做 吴,23
多囊肾 怎么 治 啊,2
北京 体育频道 明天 的 节目单,21
我 想 听 昨天晚上 的 新闻,8
请 帮 我 找 一下 酸菜鱼 的 做法,23
提醒 我 明天 约 老同学,11
笑话 用 英语 怎么 说,4
查询 大乐透 的 开奖 公告,9
馒头 怎么 做 吗,23
CCTV 少儿,22
爆炒 猪肝 怎么 做,23
说 萝卜 怎么 做,23
查询 昆明 到 合肥 的 火车,18
怎么 做饭 好吃,23
到 了 有 鲈鱼 怎么 做,23
新闻 解码,22
BTV 生活 节目 选择 回放,21
耳鸣 怎么办,2
我 要 看下 中央 六 套,22
红烧 排骨 怎么 做 啊,23
索尼 爱立信 官网,12
脑筋 急转弯 呗,6
本期   的 大乐透 开奖号码,9
给 我 背 个 李白 的 诗,17
我 想 写 一个 新邮件,20
设置 明天 8 : 10 闹钟,11
给 我 打开 mail,20
睡觉 用 英文 怎么 说,4
包皮 包茎,2
中信证券 股票,1
虾 炒蛋 怎么 做,23
背 首 杜甫 的 诗 啊,17
浏览 一下 百度,12
烤鸡 翅 怎么 做,23
CCTV 7 军事 农业,22
来 一 首 纳兰性 德 的 词,17
香蕉 的 英语 怎么 说,4
教 我 做 馒头,23
