Text,Label
lost luggage,0
greeting,1
timer,2
pto request status,3
find phone,4
who made you,5
definition,6
order,7
calories,8
transfer,9
credit limit change,10
travel alert,11
how old are you,12
order status,13
current location,14
order checks,15
taxes,16
todo list update,17
damaged card,18
reset settings,19
roll dice,20
car rental,21
restaurant suggestion,22
uber,23
calendar,24
meaning of life,25
timezone,26
account blocked,27
directions,28
travel suggestion,29
fun fact,30
what can i ask you,31
improve credit score,32
oil change how,33
apr,34
flip coin,35
oil change when,36
are you a bot,37
gas type,38
pto balance,39
pin change,40
no,41
gas,42
date,43
measurement conversion,44
pto request,45
cancel,46
weather,47
insurance,48
ingredient substitution,49
calculator,50
pay bill,51
routing,52
todo list,53
credit score,54
update playlist,55
replacement card duration,56
maybe,57
international fees,58
next holiday,59
new card,60
application status,61
insurance change,62
meeting schedule,63
where are you from,64
bill due,65
change volume,66
schedule maintenance,67
change language,68
share location,69
reminder update,70
what is your name,71
smart home,72
international visa,73
what are your hobbies,74
payday,75
ingredients list,76
how busy,77
thank you,78
tire pressure,79
flight status,80
nutrition info,81
do you have pets,82
confirm reservation,83
restaurant reservation,84
shopping list update,85
restaurant reviews,86
exchange rate,87
tell joke,88
change user name,89
meal suggestion,90
make call,91
income,92
rewards balance,93
time,94
report lost card,95
direct deposit,96
who do you work for,97
w2,98
last maintenance,99
transactions,100
cancel reservation,101
jump start,102
change ai name,103
calendar update,104
cook time,105
min payment,106
text,107
what song,108
rollover 401k,109
bill balance,110
redeem rewards,111
translate,112
next song,113
spending history,114
credit limit,115
freeze account,116
travel notification,117
book hotel,118
goodbye,119
