Text,Label
what kind of aircraft does delta use before 8 am on august second from boston to denver,8
show flights from pittsburgh into san francisco,5
what is fare class h,6
flights from denver to philadelphia include fares,5
what is the earliest flight from boston to dallas fort worth leaving august eighth,5
i need information on flights for tuesday leaving baltimore for dallas dallas to boston and boston to baltimore,5
what is the cheapest flight from denver to pittsburgh leaving on september twenty eighth,5
what flights go from san francisco to boston and leave after 1 o'clock,5
show me the evening flights from atlanta to washington on wednesdays,5
information on american airlines from washington to fort worth,5
information on first class round trip from pittsburgh to san francisco,5
i 'd like flight information between boston and washington september third,5
flights from indianapolis nashville memphis to seattle,5
i need information on flights leaving dallas arriving in boston leaving dallas early in the morning,5
give me the continental flights from chicago to seattle on friday,5
what airlines fly from dallas to baltimore,9
i need information on a flight from washington to fort worth,5
flights from phoenix to milwaukee on wednesday evening,5
i need a nonstop flight from atlanta to baltimore arriving between 5 pm and 730 pm,5
i want to go between boston and san francisco,5
what flights from las vegas to montreal on saturday,5
i 'm interested in flights from denver to pittsburgh,5
philadelphia to san francisco monday,5
give me the flights with the fares on december twenty seventh from indianapolis to orlando,5
what 's the airport at orlando,1
what is the latest flight departing from boston to san francisco,5
when is the first flight leaving from oakland to boston,5
all flights from denver to philadelphia,5
what flights are available saturday to san francisco from dallas,5
what are the flights from atlanta to dallas,5
flights from cincinnati to o 'hare departing after 718 am american,5
what are the nonstop flights from kansas city to burbank arriving on saturday may twenty two,5
flight information on january twenty third from denver to san francisco,5
which airline has more business class flights than any other airline,9
show me the flights from boston to atlanta and the return flights from atlanta to boston,5
i need a list of late afternoon flights from st. louis to chicago,5
what northwest flights leave denver before noon,5
which flights on united airlines and northwest go through denver,5
what does ap57 mean,6
how many flights does american airlines have from boston to atlanta,0
find travel arrangements for a round trip flight from dallas to pittsburgh arriving after 8 pm before 10 pm,5
please list information regarding san francisco airport,1
i would like to book a flight that goes from memphis to las vegas,5
show me the flights from newark to los angeles,5
do you have a flight from san francisco to atlanta around 8 am,5
how many first class flights does united have today,0
do you have an 819 flight from denver to san francisco,5
sunday 's flights between tampa and charlotte,5
what flights leave chicago and arrive in detroit around 6 pm next tuesday,5
flight 417 from cincinnati to dallas,5
i want to fly from boston to san francisco,5
can you tell me the flights that go from boston to atlanta sometime after 5 pm,5
show me all flights out of boston on june twentieth that have business class,5
please list all the takeoffs and landings for general mitchell international,5
what are the flights from denver to san francisco on tuesday october fifteenth,5
what are the afternoon flights for denver to san francisco,5
show me flights from boston to san francisco arriving before 1 pm,5
show me the flights from san francisco to newark that leave after 11 pm,5
show me all the delta flights leaving pittsburgh between 12 and 4 in the afternoon,5
what flights from memphis to miami on wednesday,5
show me the flights from los angeles to pittsburgh which arrive at pittsburgh on monday,5
what flights from st. paul to kansas city on friday with breakfast served,5
is there a flight from boston to san francisco making a stopover in dallas fort worth,5
show me all flights from phoenix to milwaukee next wednesday,5
i want to fly united airlines from boston to denver,5
show me all flights on thursday from atlanta to oakland which arrive in oakland before 5 o'clock pm and serve a meal,5
i would like to book a flight from denver to pittsburgh on july fifteenth i 'd like it to be the cheapest flight,5
what is the earliest flight in the morning from boston to pittsburgh,5
i 'd like flights on american from philadelphia to dallas arriving before 1145 am,5
list united flights from denver to san francisco on wednesdays,5
what about a flight from boston to san francisco stopping in denver,5
are there any flights from atlanta to baltimore,5
what is the yn code,6
a listing of all flights from boston to baltimore before 10 am on thursday,5
i need a flight from baltimore to seattle,5
what is ff,6
show me flights which leave from boston on july twenty second arriving in pittsburgh,5
show me the flights out of love field,5
i need a flight from philadelphia to denver,5
show me the flights from pittsburgh to baltimore,5
i need to go from boston to denver and then to san francisco,5
i need a flight this sunday from miami to las vegas and i would prefer a morning flight,5
i 'd like to book a flight from denver to pittsburgh and i 'd like to go on eastern airlines,5
show me flights from pittsburgh to atlanta on monday morning,5
from los angeles to phoenix on a friday,5
what airlines fly between boston and atlanta,9
flights from newark new jersey to cleveland ohio,5
list the flight from philadelphia to san francisco on american airlines,5
what airlines have nonstop early afternoon flights from boston to denver,9
what does iah mean,6
list the flights arriving in atlanta from boston between 4 and 8 pm,5
can you list all flights from chicago to st. louis that depart after 12 noon,5
explain the fare code q,6
i would like information on any flights from san francisco to pittsburgh arriving in pittsburgh before 8 am tuesday morning,5
round trip flights between houston and las vegas,5
i want to leave philadelphia and arrive in atlanta on a thursday,5
which northwest and united flights go through denver before noon,5
what are the flights from tacoma to san jose also on tuesday the eighteenth of may,5
what kind of airplane goes from philadelphia to san francisco monday stopping in dallas in the afternoon first class flight,8
show me the flights from philadelphia to dallas with one stop,5
i need a flight from chicago to dallas on continental on june fifth,5
show me the flights from boston to pittsburgh on wednesday and thursday,5
can you tell me the cheapest flight between boston and san francisco,5
do you have any flights from pittsburgh to boston on wednesday of next week in the morning,5
flights to baltimore,5
i need a flight tomorrow from atlanta to baltimore,5
tell me about flights from salt lake city to st. petersburg,5
show me the flights from pittsburgh to san francisco,5
on a flight from san francisco to atlanta that leaves before 8 am is there such a flight,5
show me the airlines between boston and toronto,9
which airline serves denver pittsburgh and atlanta,9
i 'm trying to find a flight from columbus to phoenix through cincinnati,5
i would like to arrange a flight from denver to pittsburgh,5
okay all right do you have a flight on united airlines from atlanta to washington,5
all flights from washington dc to san francisco on november twelfth,5
i 'd like to make a round trip from la to newark by way of charlotte,5
boston to denver monday,5
i need a flight from san francisco to boston that leaves after 10 pm,5
i need information on flights from kansas city missouri to salt lake city utah i am interested in only those flights on delta airlines,5
what is the earliest flight from boston to atlanta,5
i would like to fly from boston to baltimore what time are the flights in the afternoon,5
list the flights arriving in atlanta from baltimore before noon on august fourth,5
i need to fly from baltimore to dallas on tuesday evening,5
show me the flights from atlanta to bwi,5
show me a list of all the airlines that offer business class service,9
i 'm looking for flights from pittsburgh to philadelphia leaving before 9 am,5
show me all flights to philadelphia in the evening,5
list the flights from dallas to san francisco on american airlines,5
okay and then from pittsburgh i 'd like to travel to atlanta on september fourth,5
i would like the cheapest flight from pittsburgh to atlanta leaving april twenty fifth and returning may sixth,5
list all day time flights from pittsburgh to boston,5
can i fly from boston to baltimore washington,5
okay let 's see do you have a flight on delta airline from atlanta to boston,5
i need a list of late afternoon flights from chicago to milwaukee,5
describe pittsburgh airport,1
list the earliest flights from atlanta to denver on a monday,5
what is the earliest arrival in salt lake city of a flight from toronto,5
i want to fly from boston to atlanta i would like the cheapest fare please,5
show me flights from los angeles to pittsburgh for tuesday,5
flights from baltimore denver and pittsburgh to philadelphia where the round trip fare for each is less than 1000 dollars,5
all one way flights between boston and philadelphia,5
what flight from boston to baltimore is the least expensive flight,5
thank you for that information now i would like information on a flight on april sixteen from atlanta to philadelphia early in the morning,5
show me the evening flights from philadelphia to baltimore,5
what flights from kansas city to denver after 845 in the morning,5
show me the flights arriving around noon in baltimore from denver,5
what type of aircraft is used on the flight from atlanta to philadelphia before 12 o'clock noon,8
i would like to fly from dallas to denver on the morning of august twenty seventh leaving at 650,5
show me all flights that arrive in philadelphia from baltimore denver or pittsburgh,5
now show me the flights from denver to atlanta,5
first class from detroit to st. petersburg,5
list flights from denver to baltimore,5
please give me flights leaving san francisco and going to pittsburgh,5
list all flights going from boston to atlanta after 6 o'clock on wednesday and before 7 o'clock am on thursday,5
newark to cleveland,5
show me all flights from san francisco to boston philadelphia or baltimore,5
show flights from san francisco to denver on either wednesday the twenty third or thursday the twenty fourth,5
show me the list of flights from philadelphia to denver that leave in the afternoon,5
list all flights from atlanta to dallas on friday,5
i 'd like information on continental airlines flights from washington to philadelphia,5
what flights does us air have from san francisco to pittsburgh on tuesday,5
what flights are there from pittsburgh to san francisco on friday,5
what flights are there from atlanta to oakland on thursday with in flight meals,5
i would like a flight from pittsburgh to san francisco on august twentieth,5
are there any flights next monday morning from pittsburgh to san francisco,5
show me the northwest flights from detroit to st. petersburg,5
flights from la guardia to jfk,5
morning flight from atlanta to philadelphia,5
list the takeoffs and landings at general mitchell international,5
find me the cheapest flight from boston to washington,5
show me all flights from montreal,5
show me the flights from indianapolis to montreal,5
flights from phoenix to newark,5
give me flights that arrive in baltimore from denver,5
show me all the flights from philadelphia to san francisco,5
please list the flights from dallas fort worth to dc baltimore on july twenty third,5
flight information from san francisco to pittsburgh,5
show me the flights from philadelphia to baltimore in the morning,5
how many seats in a 72s,7
i would like a flight leaving from boston arriving in san francisco with a stopover in atlanta,5
am flights from atlanta to philadelphia,5
for each airline flying between boston and san francisco what is the earliest flight,5
what are the flights from dallas to philadelphia,5
what is the cheapest flight from dallas to baltimore,5
i need a flight from kansas city to chicago next wednesday that reaches chicago around 7 in the evening,5
list all round trip flights from indianapolis to orlando departing either on december twenty seventh or on december twenty eighth,5
i need a flight from philadelphia to dallas next wednesday in the morning,5
which airlines fly from boston to washington dc,9
show me the cheapest flight on june fourteenth arriving in baltimore starting from dallas,5
show me flights between denver and baltimore,5
show me flights from philadelphia to san francisco on wednesdays,5
which flights arrive in st. louis from st. paul on thursday morning,5
what is fare code h,6
how many cities are served by lufthansa with first class flights,0
does us air have a flight from toronto to salt lake city monday may thirty first,5
what flights leave pittsburgh and arrive in los angeles after 5 pm on thursday,5
what flights are available wednesday afternoon from atlanta to san francisco,5
i want information on flights from atlanta to washington dc i want to leave wednesday after 4 pm or thursday before 9 am,5
pm flights leaving san francisco arriving boston,5
i would like a flight as early as possible in the day leaving from boston and to denver,5
please list all flights from san francisco to pittsburgh on sunday,5
