Text,Label
i'd like to hear some trivia about florida,30
please tell me the bill's minimum payment,106
who gave you life,5
at what time will my flight begin boarding,80
"my card is lost, i would like to report it",95
is my todo list possible today,53
what time is my flight supposed to be landing,80
make all settings the initial defaults if you would,19
do i have to pay international transaction fees when i use my chase card,58
im not sure,57
schedule a pto request for me on march 1-2,45
can you make a phone call to kevin,91
what is the current time,94
the nutritional info for macaroni and cheese is what,81
i want you to address me in italian,68
please turn on factory settings,19
how much money have i spent on restaurants,100
chase account direct deposit options,96
let's use my credit card points,111
has my credit card application processed yet,61
to which company is your design accredited to,5
what routing number does chase in michigan use,52
how long will i have to wait before being seated at the cheese cake factory,77
can you do a coin flip,35
what ingredients are in sugar cookies,76
add mountain dew to my list for shopping,85
i would like to apply for a green card,60
"flip that coin please, i choose heads",35
where can i go to find out my credit limit,115
my bank needs to be aware of my trip to spain,117
my luggage is lost i was on delta flight ab123 out of new york,0
can you suggest to me any meals from nigeria,90
who has seen my cellphone,4
could you please state the apr for the credit card,34
help me book a car rental in chicago for april 1st to 3rd get me an suv if possible,21
how do i find the meaning of life,25
if i want to direct deposit my check into my nations bank account how do i do that,96
what is the credit limit for my navy federal card,115
"can you assist with an oil change, and what type of oil do i get",33
add american idiot by green day to my playlist,55
i would like to know when is the next holiday here,59
set a pto request for april 1st and 2nd,45
help me change my oil,33
i want to use my credit rewards now,111
make a reservation at 5 pm today for 2 at olive garden,84
what's my current tire pressure,79
skip and next,113
i want to know what the latest is on my vacation request i submitted,3
what are the sorts of things i can ask you about,31
your age please,12
do i need a tourist visa for europe,73
change pin to 1234 on account banner,40
"in tampa, i'd like to rent a sedan from 4/1 until 4/5",21
would you kindly remove five mile run from my list of things to do,17
was my order brought here,13
i need to pay my cable bill,51
goodbye,119
can you tell me when my flight is going to board,80
go to the credit card site and check if my application has gone through,61
do i need to obtain a travel visa to go on vacation to places in eastern europe,73
i want to change the oil in my car,33
who is knocking,72
do they serve good tacos at the buffet,86
i need to know how long to do a pot roast in a slow cooker,105
when did i get my check last,75
please go ahead and flip a coin,35
can you translate bowl into russian for me,112
find list of ingredients i would need to bake a funnel cake,76
i really gotta book a place to stay in phoenix from the 5th to the 9th of march,118
later,119
please add laundry to the chores,17
please locate me on the map and show me,14
has my reservation for john at bardenay been confirmed,83
what is 20% of a thousand,50
"address me as ""bailey",89
can you tell me about the best tourist attractions in sweden,29
pay electric,51
remind me friday to call my mother,70
name some tourist things to do in chicago,29
"i would like to have language set to spanish, please",68
how many vacation days do i have at my disposal,39
what are the pets that you have in your possession,82
not sure if that's a yes or a no,57
"what age were you on your last birthday, ai",12
what is the exact date of your birth,12
check on my reservation for umami at 6pm,83
get an uber to the airport,23
will i be charged a transaction fee on my discover card in cuba,58
can you flip a coin and tell me the result,35
i want to be reminded to pay the electric bill,70
use my phone to dial work,91
what song is currently playing,108
i want to reserve table for 5 at red robin under the name sara at 5,84
i'm not sure which it is,57
i need anniversary dinner added to my schedule for march 7,104
what rating do the critics give the french laundry,86
"thanks, you've helped me",78
go back to your normal settings please,19
how do i get my credit limit increased to $1000,10
i want my 401k rolled over to a new workplace,109
i'd like to reserve a high-end car that seats 5 comfortably for april 12th through 18th for st louis missouri,21
find a place near me to have my tires inspected,67
is there a way to get my current location,14
tell me any events scheduled on my calendar for april 15,24
i want 1234 to be the new pin number for my joint account,40
set your language setting to english,68
my card became damaged when i dropped it in the parking lot and it got ran over,18
please roll a dice,20
i need you to buy a laptop,7
put a freeze on my account,116
which timezone is denver located,26
how can i prevent my credit score from dropping,32
please tell me when the last time was that my car was in the shop,99
add my next doctor visit to my calendar,104
can you tell me the nutritional information for chicken nuggets,81
let's settle it with a coin flip,35
can you translate good bye into russian for me,112
see you later!,119
what is the phone number of the car rental place,21
what's the least amount i need to pay on the electric bill,106
can i start calling you dave,103
i'm thankful for your help,78
the statement is false,41
i'm not completely certain,57
please find out the current status of my credit card application,61
text my wife and tell her i'm divorcing her,107
are you a live human being,37
tell me something that'll make me laugh,88
please search for portland's timezone,26
i want to start a new aaa insurance plan,62
suggest a meal from burma to me,90
alert my bank and let them know that i'm travelling to oslo,117
how long does it take to make lasagna,105
please tell me all of my recent transactions,100
how much did i spend this week,114
can you roll a dice,20
which mexican meal would be good,90
hi,1
i don't know the answer,57
what's the routing number for my money market account,52
what kind of hobbies do you like to do,74
i really need to order some more checks for my savings account,15
what factors can ruin a credit score,32
tell me my income,92
i need someone to look at my car and tell me why the light is on,67
i am in the market for a new insurance plan,62
how do i jump start a fiat,102
can you book a car rental today to new york city to philadelphia,21
tell me something funny about adulthood,88
give me the status of my vacation request,3
do i have any meetings with michael today,63
can i make a car maintenance appointment,67
does my checking account have a pin number,40
how long do the brownies have to cook,105
will getting a credit card help my credit score,32
know any interesting facts,30
can you tell me how long it will take to cook a lasagna,105
when is my oil change expected,36
give me a list of ingredients needed for pizza dough,76
where should i report a damaged card,18
i need to make a reminder,70
check if the doors are locked,72
when will i recieve my next paycheck,75
i'm out of kleenex so will you put that on my shopping list,85
i need a routing number,52
bella needs to be called,91
does the calendar already have easter noted on it,24
halt,46
do i have an item on my todo list related to shopping,53
"if my car battery is dead, what action do i need to do",102
what is my current credit score,54
please take feeding the fish off of my list of tasks to complete,17
what is my fica score,54
i need to be reminded to pray,70
are the chili's reviews any good,86
let's get a timer going for 10 minutes,2
i have been spending a lot on insurance lately,114
i wonder if you can explain the meaning of life,25
when do i need to change my oil,36
text tony and invite him to my party next saturday,107
i want to convert my credit card points,111
help me find a hotel in that has good reviews in columbus,118
im going to be in slovakia from january 16th until january 19th,117
do i have to have a visa to go to denmark,73
what should i do for fun in tokyo,29
where is the closest gas station to glendale,28
can you tell me if you have any pets,82
i really need to check my rewards for my credit card,93
how can i cash in rewards on my discover card,111
how many rewards points do i have for my mastercard,93
remind me to call my mother saturday morning,70
how much time before my new card is mailed to me,56
have my app for a new card been processed yet,61
show me the nearest gas station,28
what's my yearly salary,92
do i have any pto days left,39
will you create a timer for me,2
what's the wait at macaroni grill,77
what is my pay grade at work,92
bring the sound up,66
what do i do to order new checkbooks for my well's fargo account,15
i want you to add cleaning the toilet to my to do list,17
how long to i bake the brownies,105
abandon the dinner reservation i made,101
whats left as far as gas goes,42
define thoroughbred,6
how can i start my car using a jump start,102
can you please check on the status of my online order,13
"if i have 20,000 yen, how much is that in usd",87
i really thank you,78
how busy will golden corral be at 7:30 tonight,77
please give me my gps coordinates,14
what are the ingredients to make shepherd's pie,76
call mark,91
how do i schedule vacation days,45
what is 4 x 4,50
what do you get if you divide 3 by 2,50
what is your birthday again,12
how are the donuts reviews at tgi,86
what's the routing number for my current savings,52
i need you to switch the language you are responding as i don't understand,68
maybe,57
"i cannot locate my phone, can you help me",4
how old are you as of today,12
how much do my bills cost this month,110
go ahead and roll the 6 sided dice for me,20
what kind of tax do i pay,16
does france have any travel alerts i should be aware of,11
what timezone is france in,26
i need to know when i last carried my car to the shop,99
that can't be true,41
might i need to get a visa to travel to venezuela,73
i need to rent a car for may 11thto may 13th in chicago and i'd like a coupe,21
i think i'd like to apply for an amex,60
"how do i share where i am, with another person",69
what does idiosyncratic mean,6
go to the next song and skip,113
timezone currently in mobile,26
bob is my name now,89
what's the timezone for boston,26
has my time off request been approved yet,3
when's the next time i should go for an oil change,36
where is my location,14
"in x, what is the charge if i use my card",58
you can call me al,89
"can you teach me how to set up direct deposit, or show me who can",96
what is the minimum i can pay for my telephone bill,106
i want the name of your boss,97
which date is my next paycheck due,75
how do i get to central park by foot,28
report a card lost for me,95
louder please,66
what is the procedure for getting a new pin number,40
are there any good hotels in salem,118
what is 63 percent of 145,50
what ingredients are in salsa,76
"hi, ai",1
will i be charged if i use my card in france,58
pay my mortgage from my checkings accounts,51
call contact aj,91
what's the credit limit on my discovery card,115
do you have an employer,97
do i have any appointments on my calendar march 22nd,24
read some of the reviews for wing stop,86
figure out my reward points for discovery card,93
how much state taxes do i owe,16
i want to know if you are a cat or dog person,82
which timezone is las vegas in,26
what's my map location,14
i would like to know the next holiday,59
how can i rent a car in las vegas,21
i want to make sure my reservation for 5 at mcdonalds is still set,83
what's the name of the company that designed you,5
roll a 9 sided dice,20
what is that noise,108
what do you think life is really about,25
skip this song and play the next one,113
when did my oil last get changed,99
add mop bathroom to my to do list,17
who made you,5
are there any meetings on my calendar today,63
can i move some money between my two accounts,9
"ai,please order some checks for my usbank account",15
could you please raise your volume,66
"i would like you to change the settings back to factory default now, please",19
can you sub half and half for heavy whipping cream,49
what is the meaning of the word slander,6
what's today's date,43
go ahead and roll the dice,20
where is the nearest walmart,28
i'm going to start calling you kobe now,103
is a travel visa needed for thailand,73
that is not factual,41
tell me what day it is,43
i'd like to revert to factory settings,19
give arianna my current location,69
i would like to try and confirm that i have a reservation at outback for josh,83
am i going to need a visa for traveling to canada,73
where do i find the routing number for sunflower bank,52
my car uses what type of fuel,38
can you schedule a vacation for next week,45
where's a good place to go if i want to see mountains,29
how is a vacation request done,45
what kind of gas do i put in my car,38
where am i right this moment,14
what's the cooking time for chicken alfredo,105
has there been any changes in the status of my credit card application,61
is it after noon,94
are there any good restaurants in nyc that serve barbecue,22
give me a cool fact about puppies,30
i want to pay my insurance bill,51
please turn my settings back to the original settings,19
what meetings are on my schedule today between 1:00 pm and 4:00 pm,63
i need interesting baseball trivia from the nineteen eighties,30
i'm traveling to fresnosoon and want to inform my bank,117
is regular gas ok or does this car need something else,38
what things do you know how to do,31
how do i set up my direct deposit,96
suggest an italian meal for me,90
what's a big bowl of ice cream contain in calories,8
can some more checkbooks get mailed to me,15
i need to see my shopping transactions,100
how much time do i need to make the chicken,105
what date is my water bill due,65
when is the next time i need to get an oil change,36
do you know how many calories are in a single chicken breast,8
i want to know my routing number please,52
how much do i have to pay this month,110
how good are the ratings for outback steakhouse,86
give me location for tourist destination in bangkok,29
i need a rental car,21
find my cellphone,4
thanks for the info,78
please tell me my bank of america routing number,52
know any dad jokes,88
lower volume level,66
never mind,46
can you simulate a dice roll,20
how can you convert centimeters to inches,44
what's life mean to you,25
do you know where my w-2 is,98
let me know in 15 minutes please,2
"can you get me a car rental for march 1st to 3rd in seattle, and i'd like a sedan if possible",21
text alice,107
how do i find out what my credit score is,54
is it safe for me to visit malawi,11
"on pets, what kind do you have",82
what do i need to make a vacation request with you,45
tell me when my flight is scheduled to start boarding,80
what's the caloric content in a bowl of rice crispies with milk,8
credit limit change,10
what are the steps to get my rewards for my visa card,111
flip a quarter,35
can i get a w2 form online,98
am i talking to a real person,37
what jokes do you know,88
i would like you to confirm my reservation for next saturday at 11 am,83
walk me through the process of reporting a lost card,95
can you tell me a joke about a lawyer,88
text emily,107
i need to know when to change oil,36
what time is it in the greenwich timezone,94
go my to checking account and switch my pin to 1234,40
i am really not sure,57
how would i walk to the liberty bell from here,28
am i talking to an actual person,37
what is the shipping status of my replacement card,56
how long should i wait before i can bake bread with homemade dough,105
text roderick and tell him im running late,107
how many calories can i expect to be in fries,8
i need to know the amount of my income,92
can i reserve a table for 2 at the olive garden at 8,84
what's the average time it takes for a new card to arrive,56
what is the title of this tune,108
what are the ai's hobbies,74
how are the reviews for spaghetti at the olive garden,86
locate my cellphone in this room,4
go back to your factory settings,19
how long will it take me to make baked chicken,105
can i take out the olive oil and use lard,49
go to factory settings,19
what's 12 feet in meters,44
how to direct deposit my paycheck,96
what's my discover credit limit,115
may i please have a definition for the work churlish,6
can you recommend for me a dish from ethiopia,90
how much do i have to pay back for my taxes,16
i need more checkbooks for my fifth third account,15
flip a coin and tell me if it's heads,35
i'd like an italian meal suggestion,90
i want you to repord my card as lost,95
i'm drawing a blank,57
how do i set up a direct deposit for my paycheck,96
i have no earthly idea at all,57
look to see if my application for the barclay's card has gone through yet,61
is anything on my calendar for june 22nd,24
how do i set up direct deposit to my bank of hawaii account,96
so what sort of hobbies are you into,74
what is the meaning of the word girn,6
tell me how to request vacation,45
pay my gas bill with my checking account,51
